Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2007,01,08,23:33:22,40.42,28.99,5.4,3.1,"10 km ENE of Mudanya, Turkey",1168299202
2006,12,31,04:15:24,40.489,29.167,5.0,2.6,"5 km ENE of Küçükkumla, Turkey",1167538524
2006,12,30,19:25:11,40.474,27.677,10.0,2.5,"12 km NW of Erdek, Turkey",1167506711
2006,12,30,16:48:31,40.321,28.052,4.0,2.6,"7 km ESE of Band?rma, Turkey",1167497311
2006,12,28,07:04:04,40.447,30.31,7.0,2.8,"6 km SSE of Geyve, Turkey",1167289444
2006,12,25,02:37:52,40.431,28.983,14.0,2.5,"10 km NE of Mudanya, Turkey",1167014272
2006,12,24,09:14:16,40.438,28.802,17.0,2.6,"9 km NW of Mudanya, Turkey",1166951656
2006,12,24,05:14:40,40.037,29.034,5.0,2.5,"6 km S of Kirazl?, Turkey",1166937280
2006,12,19,19:15:37,40.391,28.321,11.1,4.6,"20 km N of Karacabey, Turkey",1166555737
2006,12,14,07:54:18,40.54,26.82,10.0,3.6,"19 km NE of Gelibolu, Turkey",1166082858
2006,12,07,22:22:30,40.294,27.992,11.0,3.6,"6 km SSE of Band?rma, Turkey",1165530150
2006,12,05,08:10:27,40.109,27.035,5.0,2.6,"8 km N of Çan, Turkey",1165306227
2006,12,05,07:00:09,40.342,28.531,23.4,2.8,"20 km NE of Karacabey, Turkey",1165302009
2006,11,22,01:30:10,40.808,27.754,20.0,3.6,"24 km SW of Marmara Ere?lisi, Turkey",1164159010
2006,11,12,07:44:22,40.23,27.986,8.9,3.0,"13 km S of Band?rma, Turkey",1163317462
2006,11,04,02:56:35,40.283,28.04,12.1,2.9,"9 km SE of Band?rma, Turkey",1162608995
2006,10,28,15:28:26,40.642,29.233,5.6,3.3,"2 km NNE of Kad?köy, Turkey",1162049306
2006,10,25,11:56:03,40.423,28.996,14.6,3.7,"10 km WSW of Küçükkumla, Turkey",1161777363
2006,10,25,11:12:07,40.468,29.064,15.8,2.9,"3 km W of Küçükkumla, Turkey",1161774727
2006,10,25,00:56:55,40.408,29.004,10.3,3.9,"10 km SW of Küçükkumla, Turkey",1161737815
2006,10,24,16:06:43,40.69,27.35,46.0,3.6,"20 km WNW of Marmara, Turkey",1161706003
2006,10,24,14:00:21,40.424,29.107,9.3,5.0,"4 km W of Gemlik, Turkey",1161698421
2006,10,24,09:22:29,40.789,27.503,21.2,2.9,"11 km SSE of Kumba?, Turkey",1161681749
2006,10,24,08:55:28,40.265,28.003,15.1,3.0,"9 km SSE of Band?rma, Turkey",1161680128
2006,10,21,07:30:36,40.288,28.001,8.4,3.7,"7 km SSE of Band?rma, Turkey",1161415836
2006,10,20,18:15:26,40.236,28.059,10.0,4.8,"14 km SSE of Band?rma, Turkey",1161368126
2006,10,12,18:12:44,40.28,26.92,7.0,3.7,"21 km ESE of Lapseki, Turkey",1160676764
2006,08,01,21:40:37,40.776,28.013,11.6,3.7,"21 km SSE of Marmara Ere?lisi, Turkey",1154468437
2006,06,28,19:24:03,40.792,27.702,14.0,2.9,"22 km ESE of Kumba?, Turkey",1151522643
2006,06,27,21:22:09,40.79,27.686,20.0,2.7,"21 km ESE of Kumba?, Turkey",1151443329
2006,06,27,12:43:54,40.79,27.485,5.0,2.8,"10 km SSE of Kumba?, Turkey",1151412234
2006,06,27,12:04:16,40.814,27.691,8.0,2.6,"20 km ESE of Kumba?, Turkey",1151409856
2006,06,27,00:23:32,40.8,27.697,15.0,3.3,"22 km ESE of Kumba?, Turkey",1151367812
2006,06,26,20:05:09,40.818,27.682,12.0,2.7,"20 km ESE of Kumba?, Turkey",1151352309
2006,05,29,16:57:25,40.288,27.303,11.6,3.8,"8 km NE of Biga, Turkey",1148921845
2006,05,29,09:10:23,40.34,29.138,13.9,2.9,"8 km NNE of Demirta?, Turkey",1148893823
2006,04,27,13:15:42,40.612,29.256,6.7,2.8,"2 km ESE of Kad?köy, Turkey",1146143742
2006,04,27,11:56:30,40.613,29.284,7.2,2.8,"4 km S of Yalova, Turkey",1146138990
2006,04,17,11:25:46,40.207,27.696,15.7,2.9,"11 km NNE of Gönen, Turkey",1145273146
2006,03,28,13:07:00,40.566,28.12,12.8,3.9,"26 km NNE of Band?rma, Turkey",1143551220
2006,03,16,10:03:30,40.686,30.321,12.5,3.3,"4 km E of Sapanca, Turkey",1142503410
2006,03,16,10:01:09,40.699,30.326,19.3,3.1,"5 km E of Sapanca, Turkey",1142503269
2006,03,15,19:46:08,40.16,27.66,10.0,3.6,"6 km N of Gönen, Turkey",1142451968
2006,02,10,18:58:50,40.752,30.618,12.6,3.2,"7 km N of Akyaz?, Turkey",1139597930
2006,02,08,05:24:25,40.69,30.349,10.7,3.8,"6 km E of Sapanca, Turkey",1139376265
2006,02,08,04:07:41,40.704,30.352,8.8,4.6,"7 km E of Sapanca, Turkey",1139371661
2006,01,13,17:08:58,40.371,27.111,6.3,3.4,"19 km NW of Biga, Turkey",1137172138
