fid,soft,deficient,n_storey,fc_MPa,rho_long,r_k,T1_s,T_star_s,Gamma,m_star_kg,V_max_N,D_max_m,U_Y_m,F_Y_N,U_M_m,F_E_N,q,mu,Sa_yield_g,Sd_yield_m,Sae_star_g,ag_g,soil,status
32,True,False,4,34.57,0.0198449065485029,0.5024791491942244,0.5113,0.7299965451914457,1.2581786578165177,171209.99126422737,879388.6550618262,0.5081472550861165,0.05279668073952498,669659.2191896215,0.40387527791003147,1587004.1654372432,2.3698683150479636,7.649633883284633,0.39884492600898497,0.05279668073952498,0.9452099527663429,0.4,C,terminated
33,True,False,5,32.7,0.0156886214388503,0.5219708587249197,0.683,0.9341385056406635,1.2642045496191279,210821.78887181953,600882.2370488951,0.8675492575050733,0.04709003531698164,449139.9625266479,0.686241208170342,1527122.887575553,3.4001046778039647,14.572960150719386,0.21724286855529196,0.04709003531698164,0.7386484935944,0.4,C,ok
34,True,False,3,29.28,0.0147527111164401,0.5815001926840433,0.5075,0.6762674521975559,1.2224498778456818,137490.6188626245,477589.7270274072,0.3517880597613298,0.029976794738435394,355779.5862894956,0.2877729926901252,1375701.9318770054,3.8667253122207117,9.599858664046922,0.26386833908171503,0.029976794738435394,1.0203063858209052,0.4,C,ok
35,True,False,6,29.78,0.01165809207797,0.4476442883289663,0.7914,1.1131677928201154,1.2755800605769056,246666.24342316392,502516.20458701206,1.0103411630160413,0.04705500614341874,369789.03228893346,0.7920640924404972,1499404.6511684346,4.054756956655436,16.83272742599095,0.15287048052195426,0.04705500614341874,0.6198526443636534,0.4,C,ok
36,True,False,7,30.65,0.0129128809546917,0.3300806725999971,0.9297,1.2976524716274083,1.2736515071527281,291388.67794641573,520618.3499594794,1.0490921058073008,0.05569094480381942,380452.2869246683,0.8236885049918922,1519441.6997870533,3.9937772803765834,14.79034891387588,0.13313947816220806,0.05569094480381942,0.5317294230054208,0.4,C,ok
37,True,False,8,25.8,0.0160356858984041,0.3603608430832254,0.9872,1.4000224287590008,1.2885618463825608,318844.19804610347,700601.4132601713,1.479324308243655,0.07954297428312929,510822.5902907033,1.1480429227333018,1541037.8001607535,3.016776919133053,14.432989627052413,0.1633694702512645,0.07954297428312929,0.49284924714500855,0.4,C,ok
38,True,False,5,31.19,0.0175326563975579,0.3072718691753753,0.7473,1.0097454397059555,1.2415427678328266,224127.01590479555,607743.685706928,0.7208729167097915,0.053792973752574524,466826.71139990643,0.5806267294103048,1501938.2398026409,3.2173356903650006,10.793728044873445,0.21239330044346852,0.053792973752574524,0.6833405459111878,0.4,C,ok
39,True,False,3,25.42,0.0170070720599339,0.4160654978784104,0.5545,0.7268540547952577,1.2011993101021012,143495.27822669846,493101.4914723588,0.33896030841441704,0.03445725587864312,369473.7600372534,0.28218490100997945,1335857.5811021437,3.61556820968139,8.18941885575049,0.26255803538335865,0.03445725587864312,0.9492964859284732,0.4,C,ok
40,True,False,5,27.98,0.0181565398044097,0.5476370322014736,0.6669,0.9126559437702316,1.268790694656208,208046.54999317645,727813.8407431426,0.9406623528042468,0.05466597993062894,539042.7628058952,0.7413849713479567,1542492.986823651,2.8615410376617745,13.5620905778836,0.264205604341728,0.05466597993062894,0.7560351792040845,0.4,C,ok
41,True,False,2,28.8,0.0101974304811341,0.5675567874702192,0.3688,0.5058067682638202,1.1708841910024168,98984.0634140615,360160.5140822043,0.381950298479548,0.01811707668061041,276722.1125822811,0.32620672600639766,1116307.375301432,4.034037485781,18.00548354224921,0.28507419776178833,0.01811707668061041,1.15,0.4,C,ok
