fid,rid,level,sa_target_g,sa_record_g,scale,T1_s,midr,ds_index,damage_state,status,soft,deficient,n_storey,fc_MPa,rho_long,r_k,mw,rjb_km,vs30,pga_g,runtime_s
0,TK-1999-0415_C1060_HNE,1,0.15,0.05834,2.5712,0.5129,0.001662459470758106,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,50.4,626.0,0.0531,2.69
0,TK-1999-0415_C1060_HNE,2,0.35,0.05834,5.9995,0.5129,0.006778450991236413,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,50.4,626.0,0.0531,3.21
0,TK-1999-0415_C1060_HNE,3,0.65,0.05834,11.1419,0.5129,0.010964241448378651,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,50.4,626.0,0.0531,3.51
0,TK-1999-0415_C1059_HNN,2,0.35,0.18949,1.847,0.5129,0.0030417587419536204,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.6,877.0,0.152,2.7
0,TK-1999-0415_C1059_HNN,3,0.65,0.18949,3.4302,0.5129,0.006857911279591667,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.6,877.0,0.152,3.34
0,TK-1999-0415_C1059_HNN,4,1.1,0.18949,5.805,0.5129,0.013618319118127031,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.6,877.0,0.152,3.31
0,TK-1999-0415_C1059_HNN,5,2.0,0.18949,10.5545,0.5129,0.02086379364741774,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,29.6,877.0,0.152,3.56
0,TK-1999-0415_C1060_HNE,4,1.1,0.05834,18.8555,0.5129,0.02098447946942852,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,50.4,626.0,0.0531,3.93
0,TK-1999-0415_C1060_HNE,5,2.0,0.05834,34.2826,0.5129,0.05045725774380405,3,Heavy,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,50.4,626.0,0.0531,4.71
0,TK-1999-0415_C1061_HNE,0,0.05,0.19347,0.2584,0.5129,0.0004436271644727074,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,36.9,858.0,0.1309,1.7
0,TK-1999-0415_C1061_HNE,1,0.15,0.19347,0.7753,0.5129,0.0011433357097896874,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,36.9,858.0,0.1309,1.92
0,TK-1999-0415_C1061_HNE,2,0.35,0.19347,1.8091,0.5129,0.003097233813796374,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,36.9,858.0,0.1309,2.55
0,TK-1999-0415_C1061_HNE,3,0.65,0.19347,3.3597,0.5129,0.006226487698541533,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,36.9,858.0,0.1309,3.19
0,TK-1999-0415_C1061_HNE,4,1.1,0.19347,5.6857,0.5129,0.013846675764098733,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,36.9,858.0,0.1309,3.44
0,TK-1999-0415_C1061_HNE,5,2.0,0.19347,10.3376,0.5129,0.029535070968078225,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,36.9,858.0,0.1309,3.72
0,TK-1999-0415_C1062_HNE,0,0.05,0.34243,0.146,0.5129,0.0004704207308259695,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.6,616.0,0.2591,1.48
0,TK-1999-0415_C1062_HNE,1,0.15,0.34243,0.438,0.5129,0.0019046471896777596,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.6,616.0,0.2591,1.94
0,TK-1999-0415_C1062_HNE,2,0.35,0.34243,1.0221,0.5129,0.005565975353876269,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.6,616.0,0.2591,2.33
0,TK-1999-0415_C1062_HNE,3,0.65,0.34243,1.8982,0.5129,0.010612676049287305,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.6,616.0,0.2591,2.61
0,TK-1999-0415_C1062_HNE,4,1.1,0.34243,3.2123,0.5129,0.01737426001918138,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.6,616.0,0.2591,2.88
0,TK-1999-0415_C1062_HNE,5,2.0,0.34243,5.8406,0.5129,0.03641821676541339,3,Heavy,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.6,616.0,0.2591,3.29
0,TK-1999-0415_D0531_HNN,0,0.05,0.25192,0.1985,0.5129,0.00048032893443456756,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,32.7,784.0,0.1599,1.65
0,TK-1999-0415_D0531_HNN,1,0.15,0.25192,0.5954,0.5129,0.0018307255775400811,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,32.7,784.0,0.1599,2.06
0,TK-1999-0415_1401_HNE,0,0.05,1.32398,0.0378,0.5129,0.0004652618431399224,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.9,314.0,0.8214,1.24
0,TK-1999-0415_1401_HNE,1,0.15,1.32398,0.1133,0.5129,0.0018552095704874878,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.9,314.0,0.8214,1.42
0,TK-1999-0415_1401_HNE,2,0.35,1.32398,0.2644,0.5129,0.005836193851564663,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.9,314.0,0.8214,2.06
0,TK-1999-0415_1401_HNE,3,0.65,1.32398,0.4909,0.5129,0.01011776913270621,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.9,314.0,0.8214,2.35
0,TK-1999-0415_D0531_HNN,2,0.35,0.25192,1.3893,0.5129,0.003501901240697216,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,32.7,784.0,0.1599,2.51
0,TK-1999-0415_D0531_HNN,3,0.65,0.25192,2.5802,0.5129,0.0073671117128490254,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,32.7,784.0,0.1599,2.87
0,TK-1999-0415_D0531_HNN,4,1.1,0.25192,4.3664,0.5129,0.011735198710531428,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,32.7,784.0,0.1599,4.06
0,TK-1999-0415_D0531_HNN,5,2.0,0.25192,7.939,0.5129,0.020246772544408664,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,32.7,784.0,0.1599,4.0
0,TK-1999-0415_1401_HNE,4,1.1,1.32398,0.8308,0.5129,0.03139960650141522,3,Heavy,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.9,314.0,0.8214,2.38
0,TK-1999-0415_1401_HNE,5,2.0,1.32398,1.5106,0.5129,0.037517402970183265,3,Heavy,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,34.9,314.0,0.8214,2.36
0,TK-1999-0415_1406_HNN,0,0.05,0.12268,0.4076,0.5129,0.00047361695333105006,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,39.5,598.0,0.1237,3.13
0,TK-1999-0415_1406_HNN,1,0.15,0.12268,1.2227,0.5129,0.0022812867535729783,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,39.5,598.0,0.1237,3.58
0,TK-1999-0415_8101_HNE,0,0.05,0.87646,0.057,0.5129,0.0004766148255453115,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,5.4,278.0,0.525,2.42
0,TK-1999-0415_8101_HNE,1,0.15,0.87646,0.1711,0.5129,0.0020909800576103445,0,None,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,5.4,278.0,0.525,3.56
0,TK-1999-0415_8101_HNE,2,0.35,0.87646,0.3993,0.5129,0.010563427813189454,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,5.4,278.0,0.525,3.76
0,TK-1999-0415_8101_HNE,3,0.65,0.87646,0.7416,0.5129,0.017580228107018803,2,Moderate,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,5.4,278.0,0.525,3.96
0,TK-1999-0415_1406_HNN,2,0.35,0.12268,2.853,0.5129,0.0063257814798604525,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,39.5,598.0,0.1237,4.81
0,TK-1999-0415_1406_HNN,3,0.65,0.12268,5.2984,0.5129,0.01196288601995498,1,Light,ok,False,False,4,29.51,0.0134819003474722,1.0,7.2,39.5,598.0,0.1237,5.22
