fid,rid,level,soft,deficient,midr_sim,midr_pred,ds_true,ds_pred
1,TK-1999-0077_YPT_HNN,2,False,False,0.0025952746720032,0.002370646091814166,0,0
1,TK-1999-0077_YPT_HNN,3,False,False,0.0070518479716268,0.004060530108175671,1,1
1,TK-1999-0077_YPT_HNN,4,False,False,0.0177212512524363,0.009511443893682005,2,1
1,TK-1999-0077_YPT_HNN,5,False,False,0.0447827790695949,0.024678159402568702,3,1
1,TK-1999-0077_1612_HNE,0,False,False,0.0003213548033454,0.00030599977792427805,0,0
1,TK-1999-0077_1612_HNE,1,False,False,0.0009436951583565,0.0009934131788405548,0,0
1,TK-1999-0077_4101_HNE,0,False,False,0.0003221186373075,0.00030410188596552537,0,0
1,TK-1999-0077_4101_HNE,1,False,False,0.001065638738692,0.0009296993828097871,0,0
1,TK-1999-0077_4101_HNE,2,False,False,0.002352411031146,0.001960153003217639,0,0
1,TK-1999-0077_4101_HNE,3,False,False,0.0078533964002006,0.004456772168844097,1,1
1,TK-1999-0077_1612_HNE,2,False,False,0.0035784941715312,0.0023582188393464557,0,0
1,TK-1999-0077_1612_HNE,3,False,False,0.0080547155538576,0.005174278291484818,1,1
1,TK-1999-0077_1612_HNE,4,False,False,0.0203449584333633,0.010449945308135231,2,1
1,TK-1999-0077_1612_HNE,5,False,False,0.0677483700322493,0.023269367178437823,4,2
1,TK-1999-0077_4106_HNN,2,False,False,0.0021002557386444,0.003299755272075906,0,0
1,TK-1999-0077_4106_HNN,3,False,False,0.0060642477954059,0.00947725711296499,1,1
1,TK-1999-0077_4106_HNN,4,False,False,0.0116234338156009,0.023518082310534868,1,2
1,TK-1999-0077_4106_HNN,5,False,False,0.0247022348013384,0.051333606059710074,2,4
1,TK-1999-0077_4101_HNE,4,False,False,0.0114539526367454,0.008271938701018213,1,1
1,TK-1999-0077_4101_HNE,5,False,False,0.0268695416780009,0.03128118855182196,2,3
1,TK-1999-0077_4106_HNN,0,False,False,0.0003220568925144,0.00031027355142394916,0,0
1,TK-1999-0077_4106_HNN,1,False,False,0.0010468181951414,0.0010068841791577188,0,0
1,TK-1999-0077_5401_HNE,0,False,False,0.0003270365767404,0.00035148016506466044,0,0
1,TK-1999-0077_5401_HNE,1,False,False,0.0010007394273098,0.0014078889223516746,0,0
1,TK-1999-0077_5401_HNE,2,False,False,0.0024532204633307,0.005106913395667127,0,0
1,TK-1999-0077_5401_HNE,3,False,False,0.0060557476371771,0.011510480397965695,1,1
1,TK-1999-0077_5401_HNE,4,False,False,0.0074717649923409,0.026726090478906592,1,2
1,TK-1999-0077_5401_HNE,5,False,False,0.0258740222305629,0.06171113728662885,2,4
1,TK-1999-0415_487_HNN,0,False,False,0.0003271730973715,0.0002982256556013969,0,0
1,TK-1999-0415_487_HNN,1,False,False,0.0011415128151882,0.0008919167027552321,0,0
1,TK-1999-0415_496_HNN,0,False,False,0.0003254009162547,0.00031801273045306815,0,0
1,TK-1999-0415_496_HNN,1,False,False,0.0009650327400125,0.0008448168763121213,0,0
1,TK-1999-0415_496_HNN,2,False,False,0.00206101159142,0.0019251966093124968,0,0
1,TK-1999-0415_496_HNN,3,False,False,0.0029118404085428,0.003615621454732436,0,0
1,TK-1999-0415_487_HNN,2,False,False,0.00218544062742,0.00186945050800092,0,0
1,TK-1999-0415_487_HNN,3,False,False,0.0053375351117623,0.0030736350626912124,1,0
1,TK-1999-0415_487_HNN,4,False,False,0.0123466981395524,0.004965425481159392,2,1
1,TK-1999-0415_487_HNN,5,False,False,0.0154630897488107,0.009243019626199648,2,1
1,TK-1999-0415_496_HNN,4,False,False,0.0053090881798529,0.005860817042775923,1,1
1,TK-1999-0415_496_HNN,5,False,False,0.0094964479665966,0.013148774541347781,1,2
1,TK-1999-0415_498_HNN,0,False,False,0.0003239466336463,0.0003370375206015563,0,0
1,TK-1999-0415_498_HNN,1,False,False,0.0009543027998876,0.0009664384031344591,0,0
1,TK-1999-0415_498_HNN,2,False,False,0.0015836891922075,0.001967700075833356,0,0
1,TK-1999-0415_498_HNN,3,False,False,0.0030889067842695,0.0037835830457218513,0,0
1,TK-1999-0415_498_HNN,4,False,False,0.0054864986082584,0.006556298757345515,1,1
1,TK-1999-0415_498_HNN,5,False,False,0.0101174819728156,0.011467758045871395,1,2
1,TK-1999-0415_C0362_HNN,0,False,False,0.0003175505314051,0.00032228686587805347,0,0
1,TK-1999-0415_C0362_HNN,1,False,False,0.001377341931872,0.0010120046421510291,0,0
1,TK-1999-0415_C0362_HNN,2,False,False,0.0050276378969243,0.003150254303211257,1,0
1,TK-1999-0415_C0362_HNN,3,False,False,0.0213580049639841,0.0062010190308555094,2,1
1,TK-1999-0415_C0362_HNN,4,False,False,0.0313451187265345,0.012608479256715531,3,2
1,TK-1999-0415_C0362_HNN,5,False,False,0.1,0.031368143031947765,4,2
1,TK-1999-0415_C0375_HNN,0,False,False,0.0003306828632473,0.00034461256179770975,0,0
1,TK-1999-0415_C0375_HNN,1,False,False,0.001104822853955,0.0009245455574789564,0,0
